datetime,frequency11,humidity1,state1,temperature1,timestamp
29:00.7,6836.58,0,1,0,1.6565E+12
29:01.7,6847.81,0,1,0,1.6565E+12
29:02.7,6836.58,0,1,0,1.6565E+12
29:03.7,6805.31,0,1,0,1.6565E+12
29:04.7,6847.81,0,1,0,1.6565E+12
29:05.7,6837.14,0,1,0,1.6565E+12
29:06.7,6837.14,0,1,0,1.6565E+12
29:07.7,6839.38,0,1,0,1.6565E+12
29:08.7,6829.29,0,1,0,1.6565E+12
29:09.7,6837.14,0,1,0,1.6565E+12
29:10.7,6847.81,0,1,0,1.6565E+12
29:11.7,6879.47,0,1,0,1.6565E+12
29:12.7,6836.58,0,1,0,1.6565E+12
29:13.7,6847.81,0,1,0,1.6565E+12
29:14.7,6836.58,0,1,0,1.6565E+12
29:15.7,6837.14,0,1,0,1.6565E+12
29:16.7,6847.81,0,1,0,1.6565E+12
29:17.7,6837.14,0,1,0,1.6565E+12
29:18.7,6829.29,0,1,0,1.6565E+12
29:19.7,6847.81,0,1,0,1.6565E+12
29:20.7,6836.58,0,1,0,1.6565E+12
29:21.7,6836.58,0,1,0,1.6565E+12
29:22.7,6805.31,0,1,0,1.6565E+12
29:23.7,6847.81,0,1,0,1.6565E+12
29:24.7,6836.58,0,1,0,1.6565E+12
29:25.7,6805.31,0,1,0,1.6565E+12
29:26.7,6836.58,0,1,0,1.6565E+12
29:27.7,6836.58,0,1,0,1.6565E+12
29:28.7,6829.29,0,1,0,1.6565E+12
29:29.7,6836.58,0,1,0,1.6565E+12
29:30.8,6836.58,0,1,0,1.6565E+12
29:31.8,6847.81,0,1,0,1.6565E+12
29:32.8,6837.14,0,1,0,1.6565E+12
29:33.8,6805.31,0,1,0,1.6565E+12
29:34.8,6847.25,0,1,0,1.6565E+12
29:35.8,6836.58,0,1,0,1.6565E+12
29:36.8,6836.58,0,1,0,1.6565E+12
29:37.8,6847.81,0,1,0,1.6565E+12
29:38.8,6829.29,0,1,0,1.6565E+12
29:39.8,6836.58,0,1,0,1.6565E+12
29:40.8,6847.25,0,1,0,1.6565E+12
29:41.8,6837.14,0,1,0,1.6565E+12
29:42.8,6837.14,0,1,0,1.6565E+12
29:43.8,6847.81,0,1,0,1.6565E+12
29:44.8,6836.58,0,1,0,1.6565E+12
29:45.8,6836.58,0,1,0,1.6565E+12
29:46.8,6847.81,0,1,0,1.6565E+12
29:47.8,6836.58,0,1,0,1.6565E+12
29:48.8,6829.29,0,1,0,1.6565E+12
29:49.8,6847.81,0,1,0,1.6565E+12
29:50.8,6836.58,0,1,0,1.6565E+12
29:51.8,6836.58,0,1,0,1.6565E+12
29:52.8,6847.81,0,1,0,1.6565E+12
29:53.8,6805.31,0,1,0,1.6565E+12
29:54.8,6836.58,0,1,0,1.6565E+12
29:55.8,6847.81,0,1,0,1.6565E+12
29:56.8,6836.58,0,1,0,1.6565E+12
29:57.8,6837.14,0,1,0,1.6565E+12
29:58.8,6829.29,0,1,0,1.6565E+12
29:59.8,6836.58,0,1,0,1.6565E+12
30:00.8,6836.58,0,1,0,1.6565E+12
30:01.8,6847.25,0,1,0,1.6565E+12
30:02.8,6837.14,0,1,0,1.6565E+12
30:03.8,6805.31,0,1,0,1.6565E+12
30:04.8,6847.81,0,1,0,1.6565E+12
30:05.8,6836.58,0,1,0,1.6565E+12
30:06.8,6836.58,0,1,0,1.6565E+12
30:07.8,6847.81,0,1,0,1.6565E+12
30:08.9,6829.29,0,1,0,1.6565E+12
30:09.9,6836.58,0,1,0,1.6565E+12
30:10.9,6805.31,0,1,0,1.6565E+12
30:11.9,6816.63,0,1,0,1.6565E+12
30:12.9,6837.14,0,1,0,1.6565E+12
30:13.9,6847.81,0,1,0,1.6565E+12
30:14.9,6836.58,0,1,0,1.6565E+12
30:15.9,6836.58,0,1,0,1.6565E+12
30:16.9,6847.81,0,1,0,1.6565E+12
30:17.9,6836.58,0,1,0,1.6565E+12
30:18.9,6829.29,0,1,0,1.6565E+12
30:19.9,6847.81,0,1,0,1.6565E+12
30:20.9,6836.58,0,1,0,1.6565E+12
30:21.9,6837.14,0,1,0,1.6565E+12
30:22.9,6805.31,0,1,0,1.6565E+12
30:23.9,6847.81,0,1,0,1.6565E+12
30:24.9,6837.14,0,1,0,1.6565E+12
30:25.9,6847.81,0,1,0,1.6565E+12
30:26.9,6836.58,0,1,0,1.6565E+12
30:27.9,6836.58,0,1,0,1.6565E+12
30:29.0,6829.29,0,1,0,1.6565E+12
30:30.0,6837.14,0,1,0,1.6565E+12
30:31.0,6837.14,0,1,0,1.6565E+12
30:32.6,6828.55,0,1,0,1.6565E+12
30:33.6,6847.81,0,1,0,1.6565E+12
30:34.6,6836.58,0,1,0,1.6565E+12
30:35.6,6805.31,0,1,0,1.6565E+12
30:36.6,6836.58,0,1,0,1.6565E+12
30:37.6,6837.14,0,1,0,1.6565E+12
30:38.6,6829.29,0,1,0,1.6565E+12
30:39.6,6836.58,0,1,0,1.6565E+12
30:40.6,6837.14,0,1,0,1.6565E+12
30:41.6,6847.81,0,1,0,1.6565E+12
30:42.6,6836.58,0,1,0,1.6565E+12
30:43.6,6847.25,0,1,0,1.6565E+12
30:44.6,6847.81,0,1,0,1.6565E+12
30:45.6,6837.14,0,1,0,1.6565E+12
30:46.6,6837.14,0,1,0,1.6565E+12
30:47.6,6847.81,0,1,0,1.6565E+12
30:48.6,6829.29,0,1,0,1.6565E+12
30:49.6,6836.58,0,1,0,1.6565E+12
30:50.6,6847.25,0,1,0,1.6565E+12
30:51.6,6836.58,0,1,0,1.6565E+12
30:52.6,6837.14,0,1,0,1.6565E+12
30:53.6,6805.31,0,1,0,1.6565E+12
30:54.6,6837.14,0,1,0,1.6565E+12
30:55.6,6836.58,0,1,0,1.6565E+12
30:56.6,6847.81,0,1,0,1.6565E+12
30:57.6,6836.58,0,1,0,1.6565E+12
30:58.6,6829.29,0,1,0,1.6565E+12
30:59.6,6805.31,0,1,0,1.6565E+12
31:00.7,6836.58,0,1,0,1.6565E+12
31:01.7,6837.14,0,1,0,1.6565E+12
31:02.7,6805.31,0,1,0,1.6565E+12
31:03.7,6847.81,0,1,0,1.6565E+12
31:04.7,6836.58,0,1,0,1.6565E+12
31:05.7,6847.81,0,1,0,1.6565E+12
31:06.7,6836.58,0,1,0,1.6565E+12
31:07.7,6836.58,0,1,0,1.6565E+12
31:08.7,6829.29,0,1,0,1.6565E+12
31:09.7,6836.58,0,1,0,1.6565E+12
31:10.7,6836.58,0,1,0,1.6565E+12
31:11.7,6847.25,0,1,0,1.6565E+12
31:12.7,6836.58,0,1,0,1.6565E+12
31:13.7,6847.25,0,1,0,1.6565E+12
31:14.7,6805.31,0,1,0,1.6565E+12
31:15.7,6794.77,0,1,0,1.6565E+12
31:16.7,6836.58,0,1,0,1.6565E+12
31:17.7,6847.81,0,1,0,1.6565E+12
31:18.7,6829.29,0,1,0,1.6565E+12
31:19.7,6836.58,0,1,0,1.6565E+12
31:20.7,6847.81,0,1,0,1.6565E+12
31:21.7,6837.14,0,1,0,1.6565E+12
31:22.7,6836.58,0,1,0,1.6565E+12
31:23.7,6847.81,0,1,0,1.6565E+12
31:24.7,6837.14,0,1,0,1.6565E+12
31:25.7,6836.58,0,1,0,1.6565E+12
31:26.7,6847.81,0,1,0,1.6565E+12
31:27.7,6836.58,0,1,0,1.6565E+12
31:28.7,6829.29,0,1,0,1.6565E+12
31:29.7,6805.31,0,1,0,1.6565E+12
31:30.7,6836.58,0,1,0,1.6565E+12
31:31.7,6836.58,0,1,0,1.6565E+12
31:32.7,6847.81,0,1,0,1.6565E+12
31:33.7,6847.81,0,1,0,1.6565E+12
31:34.7,6837.14,0,1,0,1.6565E+12
31:35.7,6805.31,0,1,0,1.6565E+12
31:36.7,6837.14,0,1,0,1.6565E+12
31:37.7,6794.77,0,1,0,1.6565E+12
31:38.7,6829.29,0,1,0,1.6565E+12
31:39.7,6836.58,0,1,0,1.6565E+12
31:40.7,6794.77,0,1,0,1.6565E+12
31:41.7,6805.31,0,1,0,1.6565E+12
31:42.7,6836.58,0,1,0,1.6565E+12
31:43.7,6847.81,0,1,0,1.6565E+12
31:44.7,6847.81,0,1,0,1.6565E+12
31:45.7,6837.14,0,1,0,1.6565E+12
31:46.7,6837.14,0,1,0,1.6565E+12
31:47.8,6847.81,0,1,0,1.6565E+12
31:48.8,6829.29,0,1,0,1.6565E+12
31:49.8,6836.58,0,1,0,1.6565E+12
31:50.8,6847.25,0,1,0,1.6565E+12
31:51.8,6836.58,0,1,0,1.6565E+12
31:52.8,6836.58,0,1,0,1.6565E+12
31:53.8,6847.81,0,1,0,1.6565E+12
31:54.8,6837.14,0,1,0,1.6565E+12
31:55.8,6836.58,0,1,0,1.6565E+12
31:56.8,6847.81,0,1,0,1.6565E+12
31:57.8,6836.58,0,1,0,1.6565E+12
31:58.8,6829.29,0,1,0,1.6565E+12
31:59.8,6805.87,0,1,0,1.6565E+12
32:00.8,6836.58,0,1,0,1.6565E+12
32:01.8,6837.14,0,1,0,1.6565E+12
32:02.8,6847.81,0,1,0,1.6565E+12
32:03.8,6847.81,0,1,0,1.6565E+12
32:04.8,6837.14,0,1,0,1.6565E+12
32:05.8,6805.31,0,1,0,1.6565E+12
32:06.8,6836.58,0,1,0,1.6565E+12
32:07.8,6836.58,0,1,0,1.6565E+12
32:08.8,6829.29,0,1,0,1.6565E+12
32:09.8,6836.58,0,1,0,1.6565E+12
32:10.8,6836.58,0,1,0,1.6565E+12
32:11.8,6786.47,0,1,0,1.6565E+12
32:12.8,6836.58,0,1,0,1.6565E+12
32:13.8,6805.31,0,1,0,1.6565E+12
32:14.8,6847.06,0,1,0,1.6565E+12
32:15.8,6794.77,0,1,0,1.6565E+12
32:16.8,6836.58,0,1,0,1.6565E+12
32:17.8,6805.87,0,1,0,1.6565E+12
32:18.8,6829.29,0,1,0,1.6565E+12
32:19.8,6836.58,0,1,0,1.6565E+12
32:20.8,6805.31,0,1,0,1.6565E+12
32:21.8,6836.58,0,1,0,1.6565E+12
32:22.8,6836.58,0,1,0,1.6565E+12
32:23.8,6847.81,0,1,0,1.6565E+12
32:24.8,6836.58,0,1,0,1.6565E+12
32:25.8,6836.58,0,1,0,1.6565E+12
32:26.8,6805.31,0,1,0,1.6565E+12
32:27.8,6836.58,0,1,0,1.6565E+12
32:28.8,6829.29,0,1,0,1.6565E+12
32:29.8,6847.81,0,1,0,1.6565E+12
32:30.8,6836.58,0,1,0,1.6565E+12
32:31.8,6836.58,0,1,0,1.6565E+12
32:32.8,6847.25,0,1,0,1.6565E+12
32:33.8,6805.31,0,1,0,1.6565E+12
32:34.8,6836.58,0,1,0,1.6565E+12
32:35.9,6847.81,0,1,0,1.6565E+12
32:36.9,6794.77,0,1,0,1.6565E+12
32:37.9,6836.58,0,1,0,1.6565E+12
32:38.9,6829.29,0,1,0,1.6565E+12
32:39.9,6836.58,0,1,0,1.6565E+12
32:40.9,6836.58,0,1,0,1.6565E+12
32:41.9,6847.81,0,1,0,1.6565E+12
32:42.9,6836.58,0,1,0,1.6565E+12
32:43.9,6829.29,0,1,0,1.6565E+12
32:44.9,6828.55,0,1,0,1.6565E+12
32:45.9,6836.58,0,1,0,1.6565E+12
32:46.9,6836.58,0,1,0,1.6565E+12
32:47.9,6933.85,0,2,0,1.6565E+12
32:48.9,7117.84,0,2,0,1.6565E+12
32:49.9,7193,0,2,0,1.6565E+12
32:50.9,7204.82,0,2,0,1.6565E+12
32:51.9,7193,0,2,0,1.6565E+12
32:52.9,7240.5,0,2,0,1.6565E+12
32:53.9,7328.37,0,3,0,1.6565E+12
32:54.9,7385.52,0,3,0,1.6565E+12
32:55.9,7385.52,0,3,0,1.6565E+12
32:56.9,7426.11,0,3,0,1.6565E+12
32:57.9,7485.7,0,3,0,1.6565E+12
32:58.9,7476.97,0,3,0,1.6565E+12
32:59.9,7448.23,0,3,0,1.6565E+12
33:00.9,7485.7,0,3,0,1.6565E+12
33:01.9,7485.7,0,3,0,1.6565E+12
33:02.9,7499.18,0,3,0,1.6565E+12
33:03.9,7550.13,0,3,0,1.6565E+12
33:04.9,7537.16,0,3,0,1.6565E+12
33:05.9,7550.13,0,3,0,1.6565E+12
33:06.9,7537.16,0,3,0,1.6565E+12
33:07.9,7589.33,0,3,0,1.6565E+12
33:08.9,7579.66,0,3,0,1.6565E+12
33:09.9,7588.64,0,3,0,1.6565E+12
33:10.9,7641.52,0,3,0,1.6565E+12
33:11.9,7654.15,0,3,0,1.6565E+12
33:12.9,7588.64,0,3,0,1.6565E+12
33:13.9,7602.48,0,3,0,1.6565E+12
33:14.9,7654.86,0,3,0,1.6565E+12
33:15.9,7641.52,0,3,0,1.6565E+12
33:16.9,7641.52,0,3,0,1.6565E+12
33:17.9,7708.67,0,3,0,1.6565E+12
33:18.9,7685.21,0,3,0,1.6565E+12
33:19.9,7641.52,0,3,0,1.6565E+12
33:20.9,7708.67,0,3,0,1.6565E+12
33:21.9,7694.44,0,3,0,1.6565E+12
33:22.9,7748.81,0,3,0,1.6565E+12
33:23.9,7654.86,0,3,0,1.6565E+12
33:24.9,7748.81,0,3,0,1.6565E+12
33:26.0,7694.44,0,3,0,1.6565E+12
33:27.0,7762.53,0,3,0,1.6565E+12
33:28.0,7694.44,0,3,0,1.6565E+12
33:29.0,7739.46,0,3,0,1.6565E+12
33:30.0,7762.53,0,3,0,1.6565E+12
33:31.0,7748.09,0,3,0,1.6565E+12
33:32.0,7748.81,0,3,0,1.6565E+12
33:33.0,7762.53,0,3,0,1.6565E+12
33:34.0,7817.87,0,3,0,1.6565E+12
33:35.0,7748.81,0,3,0,1.6565E+12
33:36.0,7817.87,0,3,0,1.6565E+12
33:37.0,7803.23,0,3,0,1.6565E+12
33:38.0,7803.23,0,3,0,1.6565E+12
33:39.0,7812.01,0,3,0,1.6565E+12
33:40.0,7803.96,0,3,0,1.6565E+12
33:41.0,7803.23,0,3,0,1.6565E+12
33:42.0,7817.87,0,3,0,1.6565E+12
33:43.0,7859.16,0,3,0,1.6565E+12
33:44.0,7817.14,0,3,0,1.6565E+12
33:45.0,7817.87,0,3,0,1.6565E+12
33:46.0,7859.16,0,3,0,1.6565E+12
33:47.0,7858.42,0,3,0,1.6565E+12
33:48.0,7873.27,0,3,0,1.6565E+12
33:49.0,7848.8,0,3,0,1.6565E+12
33:50.0,7915.15,0,3,0,1.6565E+12
33:51.0,7874.02,0,3,0,1.6565E+12
33:52.0,7915.15,0,3,0,1.6565E+12
33:53.0,7859.16,0,3,0,1.6565E+12
33:54.0,7929.46,0,3,0,1.6565E+12
33:55.0,7859.16,0,3,0,1.6565E+12
33:56.0,7915.15,0,3,0,1.6565E+12
33:57.0,7986.45,0,3,0,1.6565E+12
33:58.0,7915.9,0,3,0,1.6565E+12
33:59.0,7962.04,0,3,0,1.6565E+12
