datetime,Sequence,frequency11,humidity1,state1,temperature1,timestamp
41:35.9,96.00,5219.97,0,1,0,1.6564E+12
41:36.9,97.00,5226.52,0,1,0,1.6564E+12
41:37.9,98.00,5244.94,0,1,0,1.6564E+12
41:38.9,99.00,5240.65,0,1,0,1.6564E+12
41:39.9,100.00,5226.52,0,1,0,1.6564E+12
41:40.9,101.00,5244.94,0,1,0,1.6564E+12
41:41.9,102.00,5244.94,0,1,0,1.6564E+12
41:42.9,103.00,5251.22,0,1,0,1.6564E+12
41:43.9,104.00,5244.94,0,1,0,1.6564E+12
41:44.9,105.00,5240.65,0,1,0,1.6564E+12
41:45.9,106.00,5240.98,0,1,0,1.6564E+12
41:46.9,107.00,5244.94,0,1,0,1.6564E+12
41:47.9,108.00,5244.94,0,1,0,1.6564E+12
41:48.9,109.00,5251.22,0,1,0,1.6564E+12
41:49.9,110.00,5226.52,0,1,0,1.6564E+12
41:50.9,111.00,5244.61,0,1,0,1.6564E+12
41:51.9,112.00,5226.52,0,1,0,1.6564E+12
41:52.9,113.00,5246.59,0,1,0,1.6564E+12
41:53.9,114.00,5244.94,0,1,0,1.6564E+12
41:54.9,115.00,5240.65,0,1,0,1.6564E+12
41:55.9,116.00,5220.3,0,1,0,1.6564E+12
41:56.9,117.00,5244.94,0,1,0,1.6564E+12
41:57.9,118.00,5226.52,0,1,0,1.6564E+12
41:58.9,119.00,5244.94,0,1,0,1.6564E+12
41:59.9,120.00,5226.52,0,1,0,1.6564E+12
42:00.9,121.00,5251.22,0,1,0,1.6564E+12
42:02.0,122.00,5244.94,0,1,0,1.6564E+12
42:03.0,123.00,5244.94,0,1,0,1.6564E+12
42:04.0,124.00,5251.55,0,1,0,1.6564E+12
42:05.0,125.00,5240.65,0,1,0,1.6564E+12
42:06.0,126.00,5244.94,0,1,0,1.6564E+12
42:07.0,127.00,5226.52,0,1,0,1.6564E+12
42:08.0,128.00,5244.94,0,1,0,1.6564E+12
42:09.0,129.00,5244.94,0,1,0,1.6564E+12
42:10.0,130.00,5251.55,0,1,0,1.6564E+12
42:11.0,131.00,5244.94,0,1,0,1.6564E+12
42:12.0,132.00,5244.94,0,1,0,1.6564E+12
42:13.0,133.00,5226.52,0,1,0,1.6564E+12
42:14.0,134.00,5219.97,0,1,0,1.6564E+12
42:15.0,135.00,5240.65,0,1,0,1.6564E+12
42:16.0,136.00,5226.52,0,1,0,1.6564E+12
42:17.0,137.00,5244.94,0,1,0,1.6564E+12
42:18.0,138.00,5244.94,0,1,0,1.6564E+12
42:19.0,139.00,5251.22,0,1,0,1.6564E+12
42:20.0,140.00,5226.52,0,1,0,1.6564E+12
42:21.0,141.00,5219.97,0,1,0,1.6564E+12
42:22.0,142.00,5226.52,0,1,0,1.6564E+12
42:23.0,143.00,5244.94,0,1,0,1.6564E+12
42:24.0,144.00,5244.94,0,1,0,1.6564E+12
42:25.0,145.00,5240.65,0,1,0,1.6564E+12
42:26.0,146.00,5219.97,0,1,0,1.6564E+12
42:27.0,147.00,5219.97,0,1,0,1.6564E+12
42:28.0,148.00,5226.52,0,1,0,1.6564E+12
42:29.0,149.00,5244.94,0,1,0,1.6564E+12
42:30.0,150.00,5251.22,0,1,0,1.6564E+12
42:31.0,151.00,5226.52,0,1,0,1.6564E+12
42:32.0,152.00,5244.94,0,1,0,1.6564E+12
42:33.0,153.00,5244.94,0,1,0,1.6564E+12
42:34.0,154.00,5251.55,0,1,0,1.6564E+12
42:35.0,155.00,5233.08,0,1,0,1.6564E+12
42:36.0,156.00,5244.94,0,1,0,1.6564E+12
42:37.0,157.00,5226.52,0,1,0,1.6564E+12
42:38.0,158.00,5244.61,0,1,0,1.6564E+12
42:39.0,159.00,5244.94,0,1,0,1.6564E+12
42:40.0,160.00,5226.52,0,1,0,1.6564E+12
42:41.0,161.00,5244.94,0,1,0,1.6564E+12
42:42.0,162.00,5244.94,0,1,0,1.6564E+12
42:43.0,163.00,5251.22,0,1,0,1.6564E+12
42:44.0,164.00,5219.97,0,1,0,1.6564E+12
42:45.0,165.00,5240.65,0,1,0,1.6564E+12
42:46.0,166.00,5251.22,0,1,0,1.6564E+12
42:47.0,167.00,5244.94,0,1,0,1.6564E+12
42:48.0,168.00,5244.94,0,1,0,1.6564E+12
42:49.0,169.00,5226.52,0,1,0,1.6564E+12
42:50.1,170.00,5226.52,0,1,0,1.6564E+12
42:51.1,171.00,5244.94,0,1,0,1.6564E+12
42:52.1,172.00,5226.19,0,1,0,1.6564E+12
42:53.1,173.00,5219.97,0,1,0,1.6564E+12
42:54.1,174.00,5244.94,0,1,0,1.6564E+12
42:55.1,175.00,5240.32,0,1,0,1.6564E+12
42:56.1,176.00,5244.94,0,1,0,1.6564E+12
42:57.1,177.00,5219.97,0,1,0,1.6564E+12
42:58.1,178.00,5251.22,0,1,0,1.6564E+12
42:59.1,179.00,5244.94,0,1,0,1.6564E+12
43:00.1,180.00,5251.22,0,1,0,1.6564E+12
43:01.1,181.00,5251.22,0,1,0,1.6564E+12
43:02.1,182.00,5219.97,0,1,0,1.6564E+12
43:03.1,183.00,5220.3,0,1,0,1.6564E+12
43:04.1,184.00,5251.55,0,1,0,1.6564E+12
43:05.1,185.00,5240.65,0,1,0,1.6564E+12
43:06.1,186.00,5231.77,0,1,0,1.6564E+12
43:07.1,187.00,5226.52,0,1,0,1.6564E+12
43:08.1,188.00,5244.94,0,1,0,1.6564E+12
43:09.1,189.00,5244.94,0,1,0,1.6564E+12
43:10.1,190.00,5226.52,0,1,0,1.6564E+12
43:11.1,191.00,5244.94,0,1,0,1.6564E+12
43:12.1,192.00,5244.94,0,1,0,1.6564E+12
43:13.1,193.00,5226.52,0,1,0,1.6564E+12
43:14.1,194.00,5244.94,0,1,0,1.6564E+12
43:15.1,195.00,5240.65,0,1,0,1.6564E+12
