datetime,frequency11,humidity1,state1,temperature1,timestamp
09:00.6,9088.27,0,1,0,1.6565E+12
09:01.6,9164.22,0,1,0,1.6565E+12
09:02.6,9075.4,0,1,0,1.6565E+12
09:03.6,9108.13,0,1,0,1.6565E+12
09:04.6,9164.22,0,1,0,1.6565E+12
09:05.6,9108.13,0,1,0,1.6565E+12
09:06.6,9088.27,0,1,0,1.6565E+12
09:07.6,9164.22,0,1,0,1.6565E+12
09:08.6,9108.13,0,1,0,1.6565E+12
09:09.6,9164.22,0,1,0,1.6565E+12
09:10.6,9088.27,0,1,0,1.6565E+12
09:11.6,9108.13,0,1,0,1.6565E+12
09:12.6,9150.14,0,1,0,1.6565E+12
09:13.6,9183.41,0,1,0,1.6565E+12
09:14.6,9108.13,0,1,0,1.6565E+12
09:15.6,9164.22,0,1,0,1.6565E+12
09:16.6,9088.27,0,1,0,1.6565E+12
09:17.6,9108.13,0,1,0,1.6565E+12
09:18.6,9108.13,0,1,0,1.6565E+12
09:19.6,9089.26,0,1,0,1.6565E+12
09:20.6,9108.13,0,1,0,1.6565E+12
09:21.6,9088.27,0,1,0,1.6565E+12
09:22.6,9075.4,0,1,0,1.6565E+12
09:23.6,9108.13,0,1,0,1.6565E+12
09:24.6,9088.27,0,1,0,1.6565E+12
09:25.6,9164.22,0,1,0,1.6565E+12
09:26.6,9108.13,0,1,0,1.6565E+12
09:27.6,9088.27,0,1,0,1.6565E+12
09:28.6,9108.13,0,1,0,1.6565E+12
09:29.6,9182.4,0,1,0,1.6565E+12
09:30.6,9164.22,0,1,0,1.6565E+12
09:31.6,9088.27,0,1,0,1.6565E+12
09:32.6,9150.14,0,1,0,1.6565E+12
09:33.6,9108.13,0,1,0,1.6565E+12
09:34.6,9088.27,0,1,0,1.6565E+12
09:35.6,9108.13,0,1,0,1.6565E+12
09:36.6,9088.27,0,1,0,1.6565E+12
09:37.6,9088.27,0,1,0,1.6565E+12
09:38.6,9107.14,0,1,0,1.6565E+12
09:39.6,9088.27,0,1,0,1.6565E+12
09:40.6,9088.27,0,1,0,1.6565E+12
09:41.6,9108.13,0,1,0,1.6565E+12
09:42.6,9075.4,0,1,0,1.6565E+12
09:43.6,9107.14,0,1,0,1.6565E+12
09:44.6,9108.13,0,1,0,1.6565E+12
09:45.6,9164.22,0,1,0,1.6565E+12
09:46.6,9164.22,0,1,0,1.6565E+12
09:47.6,9108.13,0,1,0,1.6565E+12
09:48.7,9108.13,0,1,0,1.6565E+12
09:49.7,9088.27,0,1,0,1.6565E+12
09:50.7,9108.13,0,1,0,1.6565E+12
09:51.7,9088.27,0,1,0,1.6565E+12
09:52.7,9150.14,0,1,0,1.6565E+12
09:53.7,9107.14,0,1,0,1.6565E+12
09:54.7,9164.22,0,1,0,1.6565E+12
09:55.7,9088.27,0,1,0,1.6565E+12
09:56.7,9108.13,0,1,0,1.6565E+12
09:57.7,9164.22,0,1,0,1.6565E+12
09:58.7,9108.13,0,1,0,1.6565E+12
09:59.7,9108.13,0,1,0,1.6565E+12
10:00.7,9088.27,0,1,0,1.6565E+12
10:01.7,9088.27,0,1,0,1.6565E+12
10:03.5,9116.77,0,1,0,1.6565E+12
10:04.5,9164.22,0,1,0,1.6565E+12
10:05.5,9088.27,0,1,0,1.6565E+12
10:06.5,9108.13,0,1,0,1.6565E+12
10:07.5,9088.27,0,1,0,1.6565E+12
10:08.5,9108.13,0,1,0,1.6565E+12
10:09.5,9108.13,0,1,0,1.6565E+12
10:10.5,9088.27,0,1,0,1.6565E+12
10:11.5,9089.26,0,1,0,1.6565E+12
10:12.5,9150.14,0,1,0,1.6565E+12
10:13.5,9108.13,0,1,0,1.6565E+12
10:14.5,9088.27,0,1,0,1.6565E+12
10:15.5,9108.13,0,1,0,1.6565E+12
10:16.5,9088.27,0,1,0,1.6565E+12
10:17.5,9088.27,0,1,0,1.6565E+12
10:18.5,9108.13,0,1,0,1.6565E+12
10:19.5,9164.22,0,1,0,1.6565E+12
10:20.5,9088.27,0,1,0,1.6565E+12
10:21.5,9108.13,0,1,0,1.6565E+12
10:22.5,9075.4,0,1,0,1.6565E+12
10:23.6,9107.14,0,1,0,1.6565E+12
10:24.6,9108.13,0,1,0,1.6565E+12
10:25.6,9088.27,0,1,0,1.6565E+12
10:26.6,9088.27,0,1,0,1.6565E+12
10:27.6,9108.13,0,1,0,1.6565E+12
10:28.6,9107.14,0,1,0,1.6565E+12
10:29.6,9164.22,0,1,0,1.6565E+12
10:30.6,9107.14,0,1,0,1.6565E+12
10:31.6,9088.27,0,1,0,1.6565E+12
10:32.6,9075.4,0,1,0,1.6565E+12
10:33.6,9033.1,0,1,0,1.6565E+12
10:34.6,9088.27,0,1,0,1.6565E+12
10:35.6,9088.27,0,1,0,1.6565E+12
10:36.6,9108.13,0,1,0,1.6565E+12
10:37.6,9088.27,0,1,0,1.6565E+12
10:38.6,9108.13,0,1,0,1.6565E+12
10:39.6,9108.13,0,1,0,1.6565E+12
10:40.6,9088.27,0,1,0,1.6565E+12
10:41.6,9088.27,0,1,0,1.6565E+12
10:42.6,9075.4,0,1,0,1.6565E+12
10:43.7,9108.13,0,1,0,1.6565E+12
10:44.7,9088.27,0,1,0,1.6565E+12
10:45.7,9033.1,0,1,0,1.6565E+12
10:46.7,9047.81,0,1,0,1.6565E+12
10:47.7,9088.27,0,1,0,1.6565E+12
10:48.7,9108.13,0,1,0,1.6565E+12
10:49.7,9088.27,0,1,0,1.6565E+12
10:50.7,9088.27,0,1,0,1.6565E+12
10:51.7,9108.13,0,1,0,1.6565E+12
10:52.7,9150.14,0,1,0,1.6565E+12
10:53.7,9108.13,0,1,0,1.6565E+12
10:54.7,9033.1,0,1,0,1.6565E+12
10:55.7,9088.27,0,1,0,1.6565E+12
10:56.7,9089.26,0,1,0,1.6565E+12
10:57.7,9108.13,0,1,0,1.6565E+12
10:58.7,9108.13,0,1,0,1.6565E+12
10:59.7,9088.27,0,1,0,1.6565E+12
11:00.7,9108.13,0,1,0,1.6565E+12
11:01.7,9088.27,0,1,0,1.6565E+12
11:02.7,9075.4,0,1,0,1.6565E+12
11:03.8,9108.13,0,1,0,1.6565E+12
11:04.8,9088.27,0,1,0,1.6565E+12
11:05.8,9088.27,0,1,0,1.6565E+12
11:06.8,9033.1,0,1,0,1.6565E+12
11:07.8,9088.27,0,1,0,1.6565E+12
11:08.8,9107.14,0,1,0,1.6565E+12
11:09.8,9107.14,0,1,0,1.6565E+12
11:10.8,9088.27,0,1,0,1.6565E+12
11:11.8,9110.12,0,1,0,1.6565E+12
11:12.8,9075.4,0,1,0,1.6565E+12
11:13.8,9108.13,0,1,0,1.6565E+12
11:14.8,9088.27,0,1,0,1.6565E+12
11:15.8,9107.14,0,1,0,1.6565E+12
11:16.8,9088.27,0,1,0,1.6565E+12
11:17.8,9088.27,0,1,0,1.6565E+12
11:18.8,9108.13,0,1,0,1.6565E+12
11:19.8,9088.27,0,1,0,1.6565E+12
11:20.8,9111.12,0,1,0,1.6565E+12
11:21.8,9108.13,0,1,0,1.6565E+12
11:22.8,9075.4,0,1,0,1.6565E+12
11:23.9,9108.13,0,1,0,1.6565E+12
11:24.9,9108.13,0,1,0,1.6565E+12
11:25.9,9089.26,0,1,0,1.6565E+12
11:26.9,9088.27,0,1,0,1.6565E+12
11:27.9,9107.14,0,1,0,1.6565E+12
11:28.9,9108.13,0,1,0,1.6565E+12
11:29.9,9088.27,0,1,0,1.6565E+12
11:30.9,9108.13,0,1,0,1.6565E+12
11:31.9,9089.26,0,1,0,1.6565E+12
11:32.9,9075.4,0,1,0,1.6565E+12
11:33.9,9182.4,0,1,0,1.6565E+12
11:34.9,9089.26,0,1,0,1.6565E+12
11:35.9,9088.27,0,1,0,1.6565E+12
11:36.9,9108.13,0,1,0,1.6565E+12
11:37.9,9088.27,0,1,0,1.6565E+12
11:38.9,9108.13,0,1,0,1.6565E+12
11:39.9,9107.14,0,1,0,1.6565E+12
11:40.9,9164.22,0,1,0,1.6565E+12
11:41.9,9088.27,0,1,0,1.6565E+12
11:42.9,9075.4,0,1,0,1.6565E+12
11:44.0,9033.1,0,1,0,1.6565E+12
11:45.0,9089.26,0,1,0,1.6565E+12
11:46.0,9183.41,0,1,0,1.6565E+12
11:47.0,9088.27,0,1,0,1.6565E+12
11:48.0,9088.27,0,1,0,1.6565E+12
11:49.0,9033.1,0,1,0,1.6565E+12
11:50.0,9088.27,0,1,0,1.6565E+12
11:51.0,9089.26,0,1,0,1.6565E+12
11:52.0,9107.14,0,1,0,1.6565E+12
11:53.0,9381.92,0,1,0,1.6565E+12
11:54.0,9134.09,0,1,0,1.6565E+12
11:55.0,9108.13,0,1,0,1.6565E+12
11:56.0,9164.22,0,1,0,1.6565E+12
11:57.0,9088.27,0,1,0,1.6565E+12
11:58.0,9033.1,0,1,0,1.6565E+12
11:59.0,9108.13,0,1,0,1.6565E+12
12:00.0,9089.26,0,1,0,1.6565E+12
12:01.0,9107.14,0,1,0,1.6565E+12
12:02.0,9109.13,0,1,0,1.6565E+12
12:03.0,9075.4,0,1,0,1.6565E+12
12:04.1,9075.07,0,1,0,1.6565E+12
12:05.1,9088.27,0,1,0,1.6565E+12
12:06.1,9164.22,0,1,0,1.6565E+12
12:07.1,9108.13,0,1,0,1.6565E+12
12:08.1,9164.22,0,1,0,1.6565E+12
12:09.1,9151.14,0,2,0,1.6565E+12
12:10.1,9075.07,0,2,0,1.6565E+12
12:11.1,9088.27,0,2,0,1.6565E+12
12:12.1,9088.27,0,2,0,1.6565E+12
12:13.1,9150.14,0,2,0,1.6565E+12
12:14.1,9183.41,0,2,0,1.6565E+12
12:15.1,9240.44,0,2,0,1.6565E+12
12:16.1,9338.81,0,2,0,1.6565E+12
12:17.1,9164.22,0,2,0,1.6565E+12
12:18.1,9088.27,0,2,0,1.6565E+12
12:19.1,8960.25,0,2,0,1.6565E+12
12:20.1,9075.4,0,3,0,1.6565E+12
